Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Boone County, Nebraska",0.7673,0.2009,0.6677,686.554,6259,5379,2689,2690,44.7,97.6,0.7,1.3,0.3,0.1,3.3,3.4,5.2,40.2,35.1,19.5,5286,2253,"64,705"
"Box Butte County, Nebraska",0.6304,0.3172,0.5675,1075.293,12158,10842,5412,5430,40.7,91.4,1.3,6.3,1.1,0.1,8.2,11.5,9.5,32.2,39.6,18.7,10721,4566,"65,493"
"Boyd County, Nebraska",0.7496,0.2134,0.7576,539.94,2438,1810,905,905,55.1,98,0.4,2.5,0.4,0.3,2,1.8,4.9,43.5,34.7,16.8,1784,833,"51,107"
"Brown County, Nebraska",0.8165,0.1485,0.7595,1221.333,3525,2903,1462,1441,47,95.3,0.6,2.4,0.7,0.3,5.1,6.1,6.3,36.9,34.4,22.5,2878,1350,"52,738"
"Buffalo County, Nebraska",0.7248,0.2386,0.4340,968.112,42259,50084,24750,25334,34.6,92.3,2,2,1.8,0.2,7.9,10.1,7.7,24.7,33.1,34.5,47590,19590,"65,721"
"Burt County, Nebraska",0.6061,0.3606,0.4057,491.581,7791,6722,3397,3325,47.2,96.8,1,3,0.8,0.4,2.2,2.6,8.9,36.2,31.7,23.1,6636,2851,"61,317"
"Butler County, Nebraska",0.6891,0.2685,0.5907,584.907,8767,8369,4227,4142,43.2,95.7,0.8,1.2,0.4,0.1,5.6,5.8,6.3,36.9,33.1,23.8,8215,3424,"66,416"
"Cass County, Nebraska",0.5977,0.3556,0.3513,557.446,24334,26598,13455,13143,42.4,97.6,1,2.1,0.9,0.2,3.5,3.7,5.7,28.6,36,29.8,26365,10315,"77,771"
"Cedar County, Nebraska",0.7002,0.2488,0.6877,740.312,9615,8380,4281,4099,43.2,98.4,0.7,1,0.5,0,1.7,2.2,5.7,37.3,35.2,21.7,8275,3380,"64,037"
"Chase County, Nebraska",0.8027,0.1632,0.7570,894.419,4068,3893,1902,1991,43.9,91.3,0.8,1.5,0.6,0.1,12.6,14.4,12.1,26.2,39.3,22.4,3783,1575,"59,492"
"Cherry County, Nebraska",0.8156,0.1567,0.7559,5960.422,6148,5455,2738,2717,43.4,93.5,0.8,8.2,0.7,0.1,2.2,2.7,2.7,32.1,39.3,25.8,5408,2427,"53,533"
"Cheyenne County, Nebraska",0.7661,0.2016,0.6193,1196.287,9830,9468,4712,4756,42.9,94.9,1.2,2.2,1.1,0.2,5.8,7.9,6.3,33.5,37.7,22.6,9351,4168,"54,772"
"Clay County, Nebraska",0.7235,0.2407,0.6207,572.289,7039,6104,3100,3004,42.8,95.1,0.6,2.1,0.3,0.2,7.2,8.6,7,35.5,37.4,20,6037,2509,"64,315"
"Colfax County, Nebraska",0.7053,0.2603,0.4324,411.66,10441,10582,5411,5171,34.5,64,3.8,4.6,0.8,0.1,37.1,47.2,26.6,29.9,28.4,15.1,10520,3615,"69,498"
"Cuming County, Nebraska",0.7668,0.2033,0.5914,570.619,10203,9013,4517,4496,41.7,91.5,0.8,1.8,0.7,0.3,10.1,12.3,10.6,34.3,31.4,23.6,8933,3668,"66,165"
"Custer County, Nebraska",0.7841,0.1803,0.7161,2575.522,11793,10545,5251,5294,43.5,97.5,1,1.5,0.2,0,3.3,3.7,5.6,32.4,38.5,23.5,10450,4551,"56,531"
"Dakota County, Nebraska",0.5146,0.4446,0.1734,264.255,20253,21582,10884,10698,33.4,66,8.4,4.9,3.2,0.8,32.3,40.8,22.1,33.5,30.6,13.8,21379,7400,"64,231"
"Dawes County, Nebraska",0.7039,0.2273,0.4454,1396.464,9060,8199,4008,4191,36.7,91.5,2.7,6.6,1.3,0.3,3.2,4,5.1,20.7,37.8,36.4,7454,3325,"50,905"
"Dawson County, Nebraska",0.7341,0.2318,0.4381,1013.096,24365,24111,12210,11901,36.4,72.7,5.5,2.5,1.1,0.3,28.7,35.8,22.3,30.9,30.6,16.1,23864,8868,"61,817"
"Deuel County, Nebraska",0.758,0.2062,0.7060,439.851,2098,1838,931,907,49.9,96.7,0.6,2.4,0.8,0.2,4.5,5.4,9.5,29.5,41.4,19.5,1838,834,"51,583"
"Dixon County, Nebraska",0.6569,0.2937,0.5443,476.232,6339,5606,2869,2737,41.9,91.2,1,1.5,0.7,0.3,12.6,14.2,15.6,32.6,30.6,21.2,5524,2206,"64,943"
"Dodge County, Nebraska",0.613,0.3469,0.3212,528.706,36160,37167,18391,18776,38.8,89,1.3,2.4,0.9,0.1,13.5,16.4,10.8,36.2,33.3,19.7,36435,14813,"59,872"
"Douglas County, Nebraska",0.5516,0.4005,-0.1128,328.455,463585,584526,288048,296478,34.9,76.2,13.2,2.7,5.8,0.2,11,13.8,8.8,20.8,29.6,40.7,572697,229416,"69,475"
"Dundy County, Nebraska",0.7923,0.1771,0.7757,919.678,2292,1654,832,822,48.8,95.5,1.1,2.5,0.5,0.4,4.9,6.2,9.4,22.7,37.4,30.4,1632,773,"52,916"
"Fillmore County, Nebraska",0.6751,0.2829,0.5292,575.371,6634,5551,2793,2758,45.5,97.6,0.7,2.1,0.5,0.1,3,3.2,5.6,35.7,36.5,22.2,5440,2386,"65,739"
"Franklin County, Nebraska",0.717,0.2518,0.6719,575.816,3574,2889,1481,1408,48.7,97.6,0.4,1.1,1,0.1,2.3,2.8,7.7,36.5,39.4,16.5,2864,1285,"54,192"
"Frontier County, Nebraska",0.7911,0.1752,0.7192,974.592,3099,2519,1296,1223,43.8,97.6,1.3,2.3,0.6,0.6,2.5,3.2,5.8,27.9,41.8,24.5,2398,1048,"53,735"
"Furnas County, Nebraska",0.7606,0.2197,0.6779,719.132,5324,4636,2345,2291,46.3,97.3,1.1,2.4,0.8,0.1,3.6,4.7,9.6,31.2,38.2,21,4559,2049,"54,308"
"Gage County, Nebraska",0.5826,0.3699,0.3651,851.491,22993,21704,10778,10926,44.2,97.5,1.4,2.1,0.7,0.1,2.4,2.9,9.1,36.8,33.8,20.2,21298,9284,"56,261"
"Garden County, Nebraska",0.79,0.1665,0.7125,1704.283,2292,1874,945,929,51.1,96.8,1.2,1.8,0.3,0.4,4.1,4.7,6.2,32.2,35.1,26.5,1851,883,"53,240"
"Garfield County, Nebraska",0.7456,0.2098,0.7435,569.79,1902,1813,875,938,46.9,99.2,1.2,1.4,0.1,0.1,1.2,1.3,3.3,25.1,42.3,29.4,1743,776,"51,055"
"Gosper County, Nebraska",0.7465,0.2249,0.6048,458.155,2143,1893,955,938,47.8,97.3,0.5,1.6,1.3,0.4,3.3,5,6,25.8,37.1,31,1867,789,"67,263"
"Grant County, Nebraska",0.8416,0.1273,0.8831,776.224,747,611,323,288,41,96.6,2,2.9,0.5,0,0.8,2,7.1,29.3,35.3,28.3,599,263,"64,244"
"Greeley County, Nebraska",0.6405,0.3176,0.6251,569.811,2714,2188,1111,1077,46.3,97.3,0.6,0.8,0.5,0.3,2.7,2.4,8.3,36,39.3,16.5,2164,948,"53,225"
"Hall County, Nebraska",0.6364,0.3209,0.3480,546.289,53534,62895,31484,31411,36,78.4,3.9,3,1.6,0.1,22.7,30.5,15.1,31.2,32,21.7,61808,23805,"60,751"
"Hamilton County, Nebraska",0.7239,0.2374,0.5733,542.878,9403,9429,4745,4684,41.4,97.8,0.7,1.8,0.4,0,3,3.4,3.3,27.6,42.7,26.3,9313,3715,"73,024"
"Harlan County, Nebraska",0.7333,0.2365,0.6892,553.466,3786,3073,1562,1511,50.9,98.3,0.6,1.9,0.8,0.3,2.3,2.9,7.1,27.2,40.3,25.3,3015,1355,"58,928"
"Hayes County, Nebraska",0.8511,0.1156,0.8582,713.062,1068,856,441,415,46,94,1.1,2.2,1.9,0.8,7.2,7.4,6.6,30.1,44.5,18.8,856,354,"57,060"
"Hitchcock County, Nebraska",0.7608,0.2108,0.7408,709.943,3111,2616,1334,1282,47.4,98.6,0.3,1.3,0.5,0.3,2.9,3.3,5,30.9,45.8,18.3,2577,1137,"50,300"
"Holt County, Nebraska",0.7973,0.1706,0.7357,2412.399,11551,10127,5122,5005,43.1,96.1,0.9,1.2,0.6,0,4,5.1,6.4,30.2,37.2,26.3,10000,4257,"61,415"
"Hooker County, Nebraska",0.7751,0.1809,0.7172,721.121,783,711,351,360,46.3,98,1.1,4.4,0.4,0.4,1,1.5,7.2,38.3,28.1,26.4,680,323,"52,254"
