Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Norton County, Kansas",0.7115,0.244,0.6762,878.134,5953,5459,3150,2309,42.3,93.6,4.7,2.9,1.1,0.3,2.6,5.7,9.8,30.8,36.2,23.3,4508,1991,"52,131"
"Osage County, Kansas",0.5701,0.3826,0.4424,705.518,16712,15766,7853,7913,44.4,98.4,0.9,2.9,0.8,0.2,2.5,2.9,8.3,39,31.3,21.4,15620,6480,"63,166"
"Osborne County, Kansas",0.7054,0.2384,0.6925,892.504,4452,3500,1726,1774,49.3,97.8,1.1,2.3,0.9,0.1,2,1.9,5.9,34.2,38.4,21.5,3397,1563,"52,866"
"Ottawa County, Kansas",0.7083,0.2261,0.6575,720.733,6163,5735,2953,2782,44.1,98.1,2,2.7,0.5,0.3,2.1,2.5,5,33.2,40.5,21.2,5620,2318,"58,366"
"Pawnee County, Kansas",0.6293,0.3293,0.5136,754.263,7233,6253,3430,2823,42.3,92.4,5.4,2.9,0.8,0.3,5.9,8.3,9.3,33,38.3,19.5,5530,2455,"54,004"
"Phillips County, Kansas",0.7367,0.2188,0.7522,885.877,6001,4981,2522,2459,46.6,98.1,1.2,2.4,0.6,0.2,2.2,2.9,9.1,34.4,35.1,21.5,4920,2200,"54,720"
"Pottawatomie County, Kansas",0.6448,0.2635,0.4674,841.022,18209,25348,12588,12760,36,96.1,2.2,3.3,1.7,0.2,4,5.6,4.3,29.3,29.7,36.7,25014,9050,"78,296"
"Pratt County, Kansas",0.6533,0.2976,0.5267,735.045,9647,9157,4570,4587,39.7,93.9,1.8,3,0.8,0.2,6.4,8.1,7.2,27.1,33.7,32.1,8649,3677,"58,506"
"Rawlins County, Kansas",0.7753,0.1759,0.6945,1069.416,2966,2561,1297,1264,46.3,95.4,1.8,2.1,1.2,0.4,6.5,6.2,4.5,27.6,46.2,21.7,2524,1129,"49,823"
"Reno County, Kansas",0.5969,0.3549,0.3430,1255.346,64790,61898,31267,30631,41,92.4,4.7,3.4,1,0.2,6.1,9.8,8.7,30.1,40.5,20.7,59083,25189,"52,121"
"Republic County, Kansas",0.7501,0.2023,0.6629,717.371,5835,4674,2327,2347,49.3,98.4,1.2,1.9,0.4,0.4,1.8,1.9,4.8,31.4,37.7,26.1,4616,2132,"50,131"
"Rice County, Kansas",0.6423,0.3146,0.5281,726.237,10761,9427,4720,4707,39.9,92.8,2.4,3.6,0.7,0.1,10.2,13.7,7.1,31.1,39.3,22.5,8948,3744,"58,384"
"Riley County, Kansas",0.5847,0.339,-0.0321,609.771,62843,71959,38117,33842,25.3,83.8,9.1,2.7,6.1,0.6,6.8,10.4,3.9,16.1,31.9,48.2,60761,26711,"57,144"
"Rooks County, Kansas",0.7265,0.2151,0.7373,890.533,5685,4919,2472,2447,45.4,98.2,1.9,2.5,0.6,0.4,1.5,2.4,9.5,33.2,36.6,20.7,4723,2109,"51,957"
"Rush County, Kansas",0.6661,0.2724,0.6487,717.763,3551,2956,1507,1449,48.1,98.1,0.8,1.9,1,0.4,2.3,4.5,7.6,32.1,39.9,20.4,2881,1322,"53,110"
"Russell County, Kansas",0.699,0.2545,0.6340,886.26,7370,6691,3291,3400,44.9,97.2,2,2.8,0.8,0.1,2.9,3.5,6.9,28.6,42.9,21.6,6585,2956,"48,071"
"Saline County, Kansas",0.5766,0.3478,0.3049,720.225,53597,54303,26912,27391,39.7,89.3,5.7,3.2,3,0.3,8.8,12.2,6.7,29.5,36,27.8,52749,22250,"57,643"
"Scott County, Kansas",0.7864,0.1815,0.7326,717.544,5120,5151,2553,2598,38.4,91.7,0.9,3.5,0.9,0.4,14.2,19.9,16,27.7,32.3,23.9,5078,2013,"66,233"
"Sedgwick County, Kansas",0.5735,0.3828,0.1257,997.512,452869,523824,259219,264605,36.1,78.6,11.4,4.5,5.4,0.3,11.5,15.8,10.4,26.3,32,31.2,512740,205247,"60,540"
"Seward County, Kansas",0.7592,0.221,0.3038,639.497,22510,21964,11094,10870,30.8,64.3,4,4.1,2.9,0.2,48.9,65.6,29.6,31,28.1,11.3,21640,7359,"61,897"
"Shawnee County, Kansas",0.4826,0.4682,-0.0299,544.016,169871,178909,86682,92227,39.7,84,11.2,4.5,2.1,0.2,9.3,13.3,6.8,30.4,30.6,32.3,174305,73453,"56,625"
"Sheridan County, Kansas",0.7602,0.1887,0.7824,895.957,2813,2447,1248,1199,43.1,96.7,1.7,1.5,1.1,0.6,4.3,5.9,4.2,33.9,39.1,22.8,2409,1020,"58,786"
"Sherman County, Kansas",0.7062,0.2539,0.6869,1056.066,6760,5927,2986,2941,38.4,91.7,2.9,2.3,0.8,0.2,10.1,13,9.7,30.9,37.9,21.4,5675,2447,"54,207"
"Smith County, Kansas",0.7024,0.2445,0.6721,895.465,4536,3570,1813,1757,52.1,97.7,1,1.7,0.6,0.3,1.8,1.9,3.8,39.3,35.5,21.4,3511,1627,"49,756"
"Stafford County, Kansas",0.7027,0.2577,0.6326,792.046,4789,4072,2050,2022,44.2,93.9,1.6,3.6,0.6,0.4,8.9,12.4,7.8,30.9,34.9,26.4,3981,1739,"52,542"
"Stanton County, Kansas",0.7629,0.2089,0.5997,680.345,2406,2084,1070,1014,35.4,75.3,1.5,4.1,1,0.6,33.7,43.6,18.4,38.2,28.4,15,2051,783,"65,457"
"Stevens County, Kansas",0.8119,0.1634,0.7501,727.293,5463,5250,2622,2628,36.2,77.6,1.1,3.3,0.7,0,29,38.5,26.1,26.9,34.8,12.2,5186,1905,"64,368"
"Sumner County, Kansas",0.6036,0.3469,0.5053,1181.941,25946,22382,11213,11169,41.9,96,1.8,4.9,0.6,0,3.9,5.6,6.7,34.9,32.9,25.4,22070,9028,"58,342"
"Thomas County, Kansas",0.7466,0.2135,0.6547,1074.687,8180,7930,3881,4049,36.6,94.9,1.8,2.3,0.9,0.2,5.8,8,7.9,23.2,44.8,24.1,7544,3162,"61,169"
"Trego County, Kansas",0.6641,0.2809,0.6881,889.478,3319,2808,1405,1403,48.8,98.6,0.9,1.7,0.9,0.4,2.8,2.3,5.3,29.4,41.5,23.8,2767,1283,"56,619"
"Wabaunsee County, Kansas",0.638,0.2997,0.4810,794.302,6885,6877,3529,3348,43.7,97.7,1.3,3.7,1,0.1,2.8,4.6,3.6,37.3,34.9,24.3,6694,2659,"72,031"
"Wallace County, Kansas",0.856,0.1196,0.8788,913.652,1749,1512,734,778,42.6,95.8,1.3,3,0.5,0.2,5.2,5.3,4.3,28,39.3,28.3,1488,608,"59,241"
"Washington County, Kansas",0.7487,0.2103,0.6560,894.756,6483,5530,2845,2685,43.8,97.5,0.7,1.2,0.6,0.2,4.5,5,6.3,41.2,30.1,22.4,5418,2312,"55,590"
"Wichita County, Kansas",0.7881,0.1899,0.6826,718.568,2531,2152,1123,1029,38.5,85.6,1.2,3.9,0.6,0.4,23.5,29.6,13.4,31.6,37,18,2133,846,"58,549"
"Wilson County, Kansas",0.6711,0.2896,0.6155,570.418,10332,8624,4254,4370,43.6,97.2,1.1,5.4,0.6,0.2,3.2,3,9.3,37.4,34.9,18.4,8479,3636,"46,829"
"Woodson County, Kansas",0.6107,0.3266,0.6060,497.82,3788,3115,1592,1523,46.2,97.9,0.9,4.3,0.9,0.3,1.8,2.3,9.4,38.4,31.8,20.4,3065,1355,"41,706"
"Wyandotte County, Kansas",0.2905,0.6714,-0.3095,151.6,157882,169245,84461,84784,34.5,57.6,23,3.5,5.1,0.3,26.1,33,18.8,32.3,29.6,19.3,166259,61835,"54,943"
"Adair County, Kentucky",0.7451,0.2428,0.6711,405.283,17244,18903,9381,9522,40.6,95.1,4,1.5,0.6,0.1,2.5,3.4,14.8,39.4,26.8,18.9,17763,7364,"42,112"
"Allen County, Kentucky",0.6867,0.3033,0.6349,344.338,17800,20588,10195,10393,40.9,97.2,1.8,2.1,0.5,0.1,2.8,2.8,14.1,41.6,26.9,17.4,20419,8009,"51,485"
"Anderson County, Kentucky",0.6162,0.3643,0.4763,201.832,19111,23852,11772,12080,42,96.1,3.2,2.5,0.8,0.1,2.3,2.2,8.9,34.2,31.6,25.3,23753,9369,"67,773"
"Ballard County, Kentucky",0.4839,0.4988,0.5991,246.659,8286,7728,3811,3917,44.8,96.6,3.8,1.9,1,0.1,1.6,1.2,10.8,39.2,33.9,16.1,7607,3228,"53,491"
"Barren County, Kentucky",0.6314,0.3561,0.4748,487.541,38033,44485,21530,22955,40.7,93.1,5.3,2.1,0.8,0.2,3.8,4.2,15.8,43.1,24,17.2,43868,17718,"49,245"
"Bath County, Kentucky",0.5149,0.4666,0.4288,278.792,11085,12750,6333,6417,39.9,98.3,1.7,1.3,0.3,0.1,1.2,1.4,18,43.9,23.2,14.9,12657,4878,"43,410"
"Bell County, Kentucky",0.5263,0.4511,0.6323,359,30060,24097,11830,12267,42.4,96.3,3.4,1.9,0.6,0.1,1.4,1,24.7,42.1,23.3,9.9,23384,9928,"31,033"
"Boone County, Kentucky",0.6883,0.2891,0.3569,246.359,85991,135968,67326,68642,37.5,90.3,5.8,2.2,3,0.3,5.1,5.7,6.8,28.6,30.6,34,134633,49180,"85,284"
"Bourbon County, Kentucky",0.5465,0.4292,0.3000,289.719,19360,20252,9840,10412,41.7,89.4,7,1.9,0.8,0.1,6.5,7.3,14.2,34.3,28.4,23.1,20150,8220,"58,304"
"Boyd County, Kentucky",0.4821,0.4974,0.3316,159.864,49752,48261,23818,24443,43,95.7,3.9,2,0.9,0.1,1.6,1.5,11.7,32.7,35,20.6,45978,19296,"48,979"
"Boyle County, Kentucky",0.5933,0.3838,0.2469,180.169,27697,30614,15245,15369,40.7,89,9.8,2.1,1.6,0.1,4.3,4.9,10.3,35.2,27.8,26.7,27680,11746,"52,940"
"Bracken County, Kentucky",0.684,0.2941,0.6119,205.612,8279,8400,4243,4157,41.8,98.6,1.2,1.9,0.6,0,1.3,1.1,11.1,46.9,28.9,13,8372,3329,"55,347"
"Breathitt County, Kentucky",0.4108,0.572,0.5236,492.413,16100,13718,6823,6895,42.7,98.9,0.9,2.6,0.5,0.1,2,0.7,22.5,38.4,22.2,16.9,13441,5716,"33,005"
"Breckinridge County, Kentucky",0.6391,0.3482,0.5246,567.172,18648,20432,10337,10095,42.7,96.7,3.2,2.6,0.4,0,2,1.4,13.9,44.3,27.6,14.2,20133,8003,"50,012"
"Bullitt County, Kentucky",0.6197,0.3613,0.4799,297.024,61236,82217,40783,41434,40.3,96.9,2.2,2.5,1.1,0.1,2.7,2.6,10.5,40.8,32.6,16.1,82070,31409,"68,630"
"Butler County, Kentucky",0.7293,0.2593,0.6336,426.088,13010,12371,6205,6166,41.3,96,0.9,2.1,0.4,0,4.4,4.8,19.2,45.9,21.1,13.8,12229,4910,"49,288"
"Caldwell County, Kentucky",0.5766,0.4055,0.5398,344.791,13060,12649,6136,6513,44.2,93.3,6.8,2.1,0.7,0.2,1.7,1.6,13.1,40.9,28.9,17.1,12420,5277,"46,240"
"Calloway County, Kentucky",0.5635,0.4121,0.3182,385.021,34177,37103,17906,19197,37.5,93.5,5.1,2.3,1.7,0.1,3.4,3.6,9.8,31.4,27.2,31.6,33842,15108,"49,263"
"Campbell County, Kentucky",0.6149,0.3561,0.1863,151.308,88616,93076,45591,47485,38.5,94.2,4.4,2,1.7,0.1,2.7,2.5,7,26.7,27.7,38.7,90544,38466,"71,245"
"Carlisle County, Kentucky",0.5418,0.4431,0.6429,189.434,5351,4826,2424,2402,43.7,97.3,2.4,2.5,0.5,0.3,1.2,2.8,14.7,47.7,25.1,12.5,4770,2003,"56,804"
"Carroll County, Kentucky",0.5196,0.4576,0.4444,128.569,10155,10810,5438,5372,38.9,94.4,3,1.8,0.8,0.2,6.2,7.4,19.2,42.3,31.9,6.6,10505,4090,"49,814"
"Carter County, Kentucky",0.5153,0.4668,0.5293,409.496,26889,26627,13190,13437,42.6,98.4,1.2,1.8,0.4,0.1,0.8,1,20.5,39.9,26.7,12.9,25984,10664,"43,538"
"Casey County, Kentucky",0.7833,0.2052,0.7336,444.23,15447,15941,7820,8121,41.5,96.6,1.1,1.7,0.4,0.1,3.1,3.4,25.5,40.5,22.4,11.6,15496,6270,"38,320"
"Christian County, Kentucky",0.6069,0.3814,0.2843,717.503,72265,72748,37191,35557,30,72.8,24.3,2.5,2.1,0.5,5.3,7.9,13.8,31.6,36.2,18.3,67895,26435,"48,416"
"Clark County, Kentucky",0.585,0.3943,0.3201,252.463,33144,36972,18041,18931,41.5,92.7,5.7,1.9,0.9,0.1,3.7,4,10.8,36.4,32.8,20.1,36513,14917,"60,774"
"Clay County, Kentucky",0.7331,0.2564,0.7701,469.247,24556,20345,10568,9777,40.8,95.1,4.9,1.3,0.2,0.1,0.9,1.7,31.7,37.8,19,11.5,18779,7593,"30,700"
"Clinton County, Kentucky",0.7489,0.2397,0.7455,197.246,9634,9253,4535,4718,43.2,97.5,0.9,2,0.4,0.1,2.3,2.6,21.9,38.4,25.8,13.8,9121,3942,"36,865"
"Crittenden County, Kentucky",0.5944,0.3876,0.6412,359.952,9384,8990,4500,4490,43.8,98.2,1.9,1.7,0.2,0.2,1.3,1.3,14.2,44,28.8,12.9,8729,3604,"46,263"
"Cumberland County, Kentucky",0.7385,0.2448,0.6833,305.182,7147,5888,2899,2989,47.8,96.5,4,1.8,0.2,0.2,1.7,1.3,20.4,45.8,20.4,13.4,5796,2585,"39,511"
"Daviess County, Kentucky",0.5894,0.3898,0.2788,458.346,91545,103312,50553,52759,39,90.6,6.9,1.7,2.7,0.1,3.4,4,9.1,33.8,32.1,25,100812,41105,"59,304"
"Edmonson County, Kentucky",0.6507,0.3423,0.5872,302.883,11644,12126,6046,6080,43,98.2,1.5,2,0.3,0.1,1.2,1.3,19.1,45.8,24.9,10.2,11964,4885,"47,734"
"Elliott County, Kentucky",0.3473,0.6405,0.5122,234.315,6748,7354,4207,3147,42.1,95.3,3.6,1.1,0.4,0.1,1.2,1.2,24.9,46.3,19.9,8.9,6240,2511,"34,491"
"Estill County, Kentucky",0.6439,0.3378,0.5726,253.078,15307,14163,6972,7191,44.4,99.2,0.7,2,0.2,0,0.9,0.9,25.7,42.9,20.8,10.6,14060,5875,"41,843"
"Fayette County, Kentucky",0.5167,0.4482,-0.2076,283.649,260512,322570,155876,166694,35.2,74.9,17.2,2,5.1,0.1,8.3,9.2,7.6,18.9,27.9,45.6,309060,134535,"61,269"
"Fleming County, Kentucky",0.6337,0.3501,0.5744,348.542,13792,15082,7480,7602,41.5,97.7,1.7,1.3,0.3,0.1,1.5,1.4,18.7,40.4,25.3,15.7,14919,5936,"50,025"
"Floyd County, Kentucky",0.3292,0.6553,0.5116,393.345,42441,35942,17575,18367,42.8,99,0.7,1.5,0.4,0,0.7,0.9,22.9,39,25.5,12.6,35661,14946,"36,253"
"Franklin County, Kentucky",0.4715,0.5012,0.0095,207.747,47687,51541,24821,26720,41.2,86.7,11.2,2.1,2.4,0.1,3.7,4,9.4,30.3,30.7,29.6,49876,21838,"60,517"
"Fulton County, Kentucky",0.4638,0.5208,0.3347,205.504,7752,6515,3237,3278,43,75.5,25.1,1.9,0.7,0.4,2.3,2.3,20,39.1,27.2,13.7,5978,2725,"35,630"
"Gallatin County, Kentucky",0.547,0.4266,0.5542,101.234,7870,8690,4331,4359,39.5,95.4,1.6,3.1,0.4,0.2,4.8,5.7,15,49.6,25,10.4,8576,3202,"57,345"
"Garrard County, Kentucky",0.6943,0.2942,0.5656,230.077,14792,16953,8412,8541,43.3,96.5,3,2.4,0.6,0.1,2.5,2.7,14.5,38.1,26.9,20.5,16819,6584,"54,882"
"Grant County, Kentucky",0.6202,0.3615,0.5870,257.965,22384,24941,12440,12501,38,97.2,1.7,2.5,0.7,0.2,3.1,3,11.7,45.3,28,15,24612,8995,"61,078"
"Graves County, Kentucky",0.5515,0.4284,0.5668,551.743,37028,36649,17971,18678,40.6,90.8,5.9,2.1,0.8,0.1,6.5,7.6,10.5,40.7,30.8,18,36271,14742,"49,668"
"Grayson County, Kentucky",0.6831,0.3044,0.5885,496.698,24053,26420,13322,13098,41.4,97.5,1.7,2.1,0.6,0.1,1.4,1.4,16.8,45.5,26.3,11.4,25661,10440,"45,695"
"Green County, Kentucky",0.7601,0.2281,0.6741,286.034,11518,11107,5395,5712,44.6,97,2.6,1.5,0.4,0.1,1.8,1.8,19.2,40.8,26.1,13.9,11012,4606,"42,569"
"Greenup County, Kentucky",0.4933,0.4886,0.4506,344.397,36891,35962,17473,18489,43.9,98.1,1.3,2,0.8,0.1,1.2,0.9,9.8,36.5,36.9,16.8,35398,14430,"54,292"
"Hancock County, Kentucky",0.5629,0.4177,0.3911,187.652,8392,9095,4630,4465,41.5,97.8,1.7,1.2,0.7,0.1,1.8,1.8,14.5,42.7,27.5,15.3,9010,3531,"60,897"
"Hardin County, Kentucky",0.6179,0.3615,0.2397,623.278,94174,110702,54334,56368,38.3,82.8,14.6,2.8,3.5,0.7,4.7,6,8,30.6,38.8,22.6,108146,42933,"61,224"
"Harlan County, Kentucky",0.4727,0.5093,0.7176,465.828,33202,26831,12953,13878,42.3,96.9,2.9,2.2,0.5,0.1,1.1,1,25.1,35.8,29.6,9.5,26266,11249,"31,116"
"Harrison County, Kentucky",0.5737,0.4021,0.4441,306.364,17983,18692,9183,9509,42.9,96.9,2.9,1.8,0.6,0.1,2.2,2.1,15,40.5,27.1,17.5,18391,7371,"58,535"
"Hart County, Kentucky",0.6189,0.3657,0.5301,412.086,17445,19288,9601,9687,39.9,95,4.8,2,0.5,0.1,1.8,1.7,22,42.9,24.5,10.6,19055,7418,"50,074"
"Henderson County, Kentucky",0.48,0.5022,0.2460,436.669,44829,44793,21620,23173,41.2,89,10.6,1.7,1,0.1,3.1,3.1,11.5,38,32.4,18,43797,18345,"56,142"
"Henry County, Kentucky",0.5927,0.3868,0.4564,286.276,15060,15678,7767,7911,42,95.1,3.9,2.5,0.5,0.1,3.2,3.5,15.7,41.8,28.7,13.8,15591,6099,"56,593"
"Hickman County, Kentucky",0.5419,0.4426,0.5712,242.274,5262,4521,2163,2358,48,90.3,10.6,1.7,0.4,0.2,1.4,2.3,11.3,39,25.3,24.4,4404,1916,"49,328"
"Hopkins County, Kentucky",0.5755,0.4084,0.4796,541.995,46519,45423,22132,23291,41.9,91.4,8.4,2.1,0.8,0.2,2.3,2.5,12.3,39.9,31.3,16.5,44425,18595,"49,883"
"Jackson County, Kentucky",0.8402,0.1444,0.7931,345.201,13495,12955,6439,6516,42.1,99.1,0.3,1.8,0.3,0.2,0.6,0.7,28.7,44.1,18.2,9.1,12858,5244,"36,997"
"Jefferson County, Kentucky",0.4797,0.4958,-0.2010,380.416,693604,782969,379349,403620,38.7,70.5,23.9,1.9,4.3,0.2,6.9,7.5,8.7,26.3,29.9,35,767065,328169,"60,636"
"Jessamine County, Kentucky",0.6689,0.3076,0.3245,172.116,39041,52991,25799,27192,37.9,92.2,5.9,2,1.8,0.1,4,4.5,10.3,31.8,28.3,29.6,51486,19438,"61,652"
"Johnson County, Kentucky",0.5847,0.3974,0.6713,261.953,23445,22680,11033,11647,42.9,98.8,0.6,1.4,0.6,0.1,0.9,0.9,16.9,39.6,27.4,16.1,22305,9236,"41,013"
"Kenton County, Kentucky",0.629,0.3397,0.1929,160.25,151464,169064,83430,85634,37.5,91.2,6.8,2.2,1.8,0.2,4.3,4.6,8.5,27.4,28.6,35.5,167251,67612,"70,693"
"Knott County, Kentucky",0.3142,0.6734,0.5387,351.518,17649,14251,7035,7216,43.5,99.1,1,1.2,0.2,0,0.6,0.6,29.6,29.5,24.9,16,13746,5749,"34,051"
"Knox County, Kentucky",0.6113,0.3724,0.6704,386.297,31795,30193,14554,15639,40.9,98,1.7,2.2,0.5,0,1.1,1.1,24,39,21.8,15.3,29291,12047,"32,646"
"Larue County, Kentucky",0.6534,0.3335,0.5727,261.519,13373,14867,7379,7488,41.3,95.3,3.7,2.4,0.6,0.2,2.9,3.2,19.2,33.8,30.1,16.9,14719,5879,"54,470"
"Laurel County, Kentucky",0.719,0.268,0.6674,433.953,52715,62613,30814,31799,40.2,97.6,1.4,2.3,0.8,0.1,1.6,1.6,17.5,39.5,27.5,15.4,61534,24262,"48,950"
"Lawrence County, Kentucky",0.5594,0.4255,0.6319,415.595,15569,16293,8059,8234,42,99.2,0.7,1.4,0.3,0.1,0.9,0.9,23.6,42.6,21.7,12.2,16156,6429,"42,750"
"Lee County, Kentucky",0.6849,0.3025,0.6398,208.857,7916,7395,4115,3280,42.8,95.6,4.1,1.6,0.1,0,1.1,0.8,27.1,40.9,24.2,7.9,6252,2714,"29,143"
"Leslie County, Kentucky",0.7124,0.2729,0.8051,400.844,12401,10513,5163,5350,43.2,99,0.8,1.5,0.2,0,0.7,0.7,16.5,45.8,28.5,9.2,10196,4241,"32,682"
"Letcher County, Kentucky",0.4554,0.5229,0.5941,337.914,25277,21548,10673,10875,43.6,98.9,0.8,1.6,0.3,0.1,0.6,0.6,23,35.6,31.1,10.3,21222,9047,"34,897"
"Lewis County, Kentucky",0.7042,0.2831,0.7076,482.836,14092,13080,6428,6652,42.1,99.2,0.9,1.7,0.2,0,0.8,0.6,22.8,43.8,24.5,8.8,12938,5239,"40,508"
"Lincoln County, Kentucky",0.6312,0.3525,0.5713,334.095,23361,24275,12008,12267,42.3,96.8,2.9,1.9,0.3,0.1,1.7,2,17.6,44,24.7,13.7,24097,9711,"44,399"
"Livingston County, Kentucky",0.5007,0.478,0.6137,313.127,9804,8888,4376,4512,47.7,98.2,1.1,3.2,0.5,0.2,2.1,2.1,13.6,41.7,30.1,14.6,8825,3789,"48,371"
"Logan County, Kentucky",0.5727,0.4163,0.4836,552.131,26573,27432,13517,13915,40.6,91.3,7.9,1.8,0.5,0.1,3,3.1,12.5,43.7,26.9,16.9,27093,11000,"53,519"
"Lyon County, Kentucky",0.4936,0.4912,0.4749,213.84,8080,8680,4834,3846,49.4,92.4,6.5,1.7,0.5,0,1.9,1.8,10.8,44.8,30.1,14.3,7098,3327,"56,445"
"McCracken County, Kentucky",0.5525,0.4276,0.3167,248.744,65514,67875,32651,35224,42.3,85.8,13.3,2.6,1.4,0.1,3.2,3.1,7.6,32.2,33.5,26.7,65731,28932,"60,504"
"McCreary County, Kentucky",0.692,0.2955,0.7672,426.803,17080,16888,9093,7795,40.2,93.5,5.9,1.9,0.3,0.1,1.5,2.2,22,41.5,29.4,7,15201,6058,"32,938"
"McLean County, Kentucky",0.5517,0.4344,0.5351,252.474,9938,9152,4534,4618,43.6,98.3,1.1,1.5,0.3,0.1,1.8,1.8,10,38.9,33.7,17.4,9075,3737,"53,102"
"Madison County, Kentucky",0.5781,0.3933,0.2679,437.293,70872,92701,44895,47806,35.6,92,5.9,2.2,2.4,1,2.8,3.3,10.3,27.1,29.1,33.4,86905,36148,"54,498"
"Magoffin County, Kentucky",0.5107,0.4774,0.5434,308.444,13332,11637,5722,5915,43.7,99.3,0.4,1,0.2,0.1,0.9,0.6,27.9,37.7,23.5,10.9,11512,4802,"34,423"
"Marion County, Kentucky",0.5277,0.4498,0.3798,343.008,18212,19581,9730,9851,40.5,90.8,8.1,1.4,1,0.3,3.1,3.5,14.7,44.2,27,14.1,19042,7752,"51,523"
"Marshall County, Kentucky",0.53,0.4508,0.5241,301.253,30125,31659,15682,15977,45.8,98.4,0.9,2.3,0.7,0.1,1.8,1.7,8.2,35.6,34.8,21.4,31212,13359,"57,802"
"Martin County, Kentucky",0.5985,0.3846,0.7858,229.605,12578,11287,6285,5002,40.3,92.4,7.3,1.2,0.2,0,0.4,2.6,26.3,35.6,26.3,11.8,9887,4035,"29,387"
"Mason County, Kentucky",0.6082,0.3708,0.3914,240.128,16800,17120,8307,8813,42.4,91.8,8.6,2.2,0.8,0.1,2.2,2.1,13.9,30.9,33,22.2,16865,7136,"49,924"
"Meade County, Kentucky",0.5864,0.3964,0.4643,305.423,26349,30003,15001,15002,38.4,93.9,4.9,2.9,1.5,0.5,3.3,3.8,10.7,39.7,32.3,17.3,29773,11045,"58,839"
"Menifee County, Kentucky",0.5202,0.4615,0.5032,203.585,6556,6113,3033,3080,45,98.9,1,1.5,0.3,0.1,1.1,0.9,23.4,43.2,22.4,11.1,6051,2480,"38,928"
"Mercer County, Kentucky",0.6212,0.3582,0.4664,248.797,20817,22641,11107,11534,43.4,94.1,5,2.2,0.6,0.1,3,3.1,11.9,34.8,33.2,20.1,22372,9213,"53,336"
"Metcalfe County, Kentucky",0.6433,0.3424,0.5954,289.645,10037,10286,5183,5103,41.9,97.3,1.6,1.7,0.3,0.1,2.3,2.2,18.5,43,24.7,13.8,10193,4148,"42,755"
"Monroe County, Kentucky",0.786,0.2079,0.7450,329.373,11756,11338,5687,5651,42.1,95,2.6,1.4,0.2,0,3.6,4.2,19.3,41.3,24.7,14.8,11229,4557,"41,638"
"Montgomery County, Kentucky",0.5322,0.4499,0.4176,197.366,22554,28114,13659,14455,40.1,95.2,3.2,2.1,0.9,0.1,3.2,3.3,14.6,41.5,27.2,16.7,27799,11117,"51,831"
"Morgan County, Kentucky",0.5413,0.4422,0.5639,381.127,13948,13726,7764,5962,41.2,94.9,4.6,1.4,0.3,0.1,3,3,23.1,39.8,21.8,15.3,11927,4841,"47,131"
"Muhlenberg County, Kentucky",0.4615,0.5265,0.4884,467.079,31839,30928,15760,15168,41.9,94.7,5.1,1.3,0.4,0.1,1.8,1.8,16.7,42.8,28.6,12,29214,11955,"45,883"
"Nelson County, Kentucky",0.5719,0.4064,0.3661,417.512,37477,46738,23117,23621,40.7,93.4,6.4,1.8,1,0.1,2.3,2.6,7.9,36.4,34.8,20.8,46089,18462,"62,036"
"Nicholas County, Kentucky",0.6034,0.3719,0.4279,195.171,6813,7537,3725,3812,41.9,98,1,1.9,0.4,0.1,1.8,2,18.9,46.3,25.6,9.2,7434,2954,"46,547"
"Ohio County, Kentucky",0.6094,0.3719,0.5551,587.274,22916,23772,11843,11929,40.7,96,1.4,1.8,0.5,0.1,3.7,4.2,18.7,39.3,27.4,14.6,23533,9280,"55,432"
"Oldham County, Kentucky",0.67,0.3077,0.2146,187.218,46178,67607,34998,32609,40,92.7,4.6,2.1,2.7,0.1,4.4,4.8,6.1,19.8,29.7,44.4,63673,22133,"109,181"
"Owen County, Kentucky",0.6344,0.3425,0.5852,351.103,10547,11278,5610,5668,41.9,97.5,1.4,2.2,0.5,0.2,2.5,2.2,17.1,41.4,23.3,18.1,11180,4349,"55,321"
"Owsley County, Kentucky",0.8028,0.1857,0.7674,197.407,4858,4051,2013,2038,45.1,98.8,1.1,1.8,0.2,0.2,1.1,1,31.5,41.4,15.6,11.5,3965,1735,"29,365"
"Pendleton County, Kentucky",0.6338,0.3477,0.6055,277.157,14390,14644,7431,7213,41.6,98.4,1,1.9,0.6,0.1,1.8,1.4,16.6,43,24.5,16,14450,5533,"56,036"
"Perry County, Kentucky",0.482,0.5015,0.5433,339.67,29390,28473,13977,14496,42,97.1,2.1,1.9,1,0.1,1,0.8,22.2,32.6,31.2,14,27822,11481,"36,528"
"Pike County, Kentucky",0.4413,0.5459,0.6071,786.833,68736,58669,28708,29961,43.5,97.9,1.4,1.5,0.8,0.1,1,1.2,21.1,39.5,23.7,15.7,56850,24534,"38,066"
